Milliseconds,X,Y,Z,cos,headingAccuracy
6301,0.047915347,-0.9062504,0.2736202,0.31866336,0.17453292
6321,0.048615128,-0.9063647,0.2716179,0.31994268,0.17453292
6342,0.050646998,-0.9062473,0.27073064,0.32071114,0.17453292
6361,0.052064117,-0.9059988,0.27077076,0.32115203,0.17453292
6381,0.052562013,-0.905664,0.27112347,0.3217172,0.17453292
6401,0.052367803,-0.90646905,0.27123466,0.31937954,0.17453292
6422,0.050541025,-0.9068979,0.26807284,0.32112104,0.17453292
6441,0.04946574,-0.90692616,0.2655485,0.32329872,0.17453292
6462,0.05010694,-0.90665257,0.26557672,0.32394356,0.17453292
6481,0.051747687,-0.90655273,0.26708785,0.3227203,0.17453292
6501,0.05279986,-0.9068053,0.26795423,0.32111815,0.17453292
6522,0.05241624,-0.90742755,0.26832035,0.31911126,0.17453292
6541,0.051460814,-0.907869,0.2688896,0.31752816,0.17453292
6562,0.05170281,-0.9083074,0.26955467,0.31566566,0.17453292
6581,0.053321335,-0.9086356,0.2713325,0.31291658,0.17453292
6601,0.055758536,-0.90793425,0.27616185,0.31029186,0.17453292
6621,0.059485607,-0.9072084,0.28249267,0.30599388,0.17453292
6642,0.062109176,-0.90643394,0.28738135,0.30320275,0.17453292
6661,0.06343819,-0.90568167,0.2904209,0.30227807,0.17453292
6681,0.064236924,-0.90532565,0.29193732,0.30171463,0.17453292
6702,0.06586747,-0.9046443,0.2927208,0.30264616,0.17453292
6721,0.0666742,-0.9046219,0.29365537,0.30162933,0.17453292
6741,0.06763851,-0.9040268,0.29534006,0.301554,0.17453292
6761,0.069171496,-0.9036368,0.2956648,0.30205646,0.17453292
6781,0.06914464,-0.9035662,0.29544508,0.30248868,0.17453292
6801,0.06913426,-0.9034338,0.29522896,0.30309674,0.17453292
6821,0.07035785,-0.9028487,0.29585353,0.30394843,0.17453292
6841,0.07294357,-0.90187764,0.29724178,0.304866,0.17453292
6861,0.07394815,-0.9018497,0.29722545,0.30472252,0.17453292
6881,0.075162105,-0.9014712,0.2975955,0.3051839,0.17453292
6902,0.07610409,-0.9016362,0.29762208,0.3044364,0.17453292
6921,0.077188745,-0.90174556,0.29712772,0.3043222,0.17453292
6941,0.07068433,-0.90457696,0.29282647,0.30165702,0.17453292
6961,0.06372691,-0.905574,0.29101163,0.3019715,0.17453292
6981,0.059452668,-0.9061213,0.291614,0.3006174,0.17453292
7002,0.05699793,-0.9063431,0.2936819,0.29840305,0.17453292
7021,0.056618944,-0.9064572,0.29396376,0.29785067,0.17453292
7041,0.05771434,-0.9061595,0.294475,0.29804105,0.17453292
7062,0.060378715,-0.9053714,0.29608065,0.29831743,0.17453292
