Milliseconds,X,Y,Z,cos,headingAccuracy
4540,-0.6021229,-0.62585163,-0.094505385,0.48664814,0.17453292
4560,-0.5967626,-0.6353135,-0.08557271,0.48262665,0.17453292
4581,-0.5942354,-0.6383377,-0.08104155,0.4825366,0.17453292
4600,-0.5898849,-0.6429556,-0.07968296,0.48196948,0.17453292
4621,-0.583237,-0.6526509,-0.07443179,0.47785074,0.17453292
4640,-0.56962854,-0.6664556,-0.06908113,0.47601268,0.17453292
4660,-0.55966574,-0.6761645,-0.057364333,0.47569436,0.17453292
4681,-0.56099284,-0.675855,-0.0480865,0.47559938,0.17453292
4700,-0.5595708,-0.677362,-0.041154478,0.475781,0.17453292
4720,-0.56119525,-0.67799634,-0.03358146,0.47355375,0.17453292
4740,-0.5661227,-0.6763102,-0.029167218,0.47038165,0.17453292
4761,-0.57160246,-0.6703158,-0.026323078,0.47249803,0.17453292
4780,-0.57777804,-0.66288704,-0.015121269,0.4759461,0.17453292
4800,-0.5867421,-0.6551049,-0.006506481,0.47595066,0.17453292
4820,-0.59908366,-0.6464801,-0.0032271768,0.47238952,0.17453292
4841,-0.60810065,-0.64001256,8.5333805E-4,0.46967733,0.17453292
4860,-0.61327493,-0.636719,0.003368102,0.46740925,0.17453292
4880,-0.6185959,-0.63543963,0.006590068,0.46207377,0.17453292
4900,-0.6200851,-0.6353881,0.007100868,0.46013698,0.17453292
4921,-0.6195705,-0.63636607,0.008763593,0.45944953,0.17453292
4940,-0.61918026,-0.637384,0.01053171,0.45852646,0.17453292
4960,-0.61934555,-0.6383449,0.014411884,0.45685795,0.17453292
4980,-0.61948794,-0.6395689,0.018774383,0.45478985,0.17453292
5001,-0.6188779,-0.6396101,0.018505292,0.45557284,0.17453292
5020,-0.61944824,-0.63953954,0.019281803,0.45486403,0.17453292
5040,-0.6191129,-0.64060235,0.025284749,0.4535289,0.17453292
5061,-0.61762816,-0.64299953,0.034498114,0.45154953,0.17453292
5080,-0.61552465,-0.64598095,0.04532346,0.44920358,0.17453292
5100,-0.6133188,-0.6488698,0.056489937,0.44678506,0.17453292
5121,-0.6131427,-0.64928037,0.06088373,0.4458522,0.17453292
5140,-0.61394185,-0.6494019,0.061716855,0.44445878,0.17453292
5160,-0.6139218,-0.6503721,0.06401397,0.4427396,0.17453292
5180,-0.61285484,-0.6520408,0.07083663,0.44071987,0.17453292
5201,-0.6108384,-0.65343523,0.07987983,0.4399068,0.17453292
5220,-0.6096882,-0.65365726,0.0863989,0.43994057,0.17453292
5240,-0.6098843,-0.65341157,0.08936666,0.43944055,0.17453292
5260,-0.61089694,-0.65256363,0.089179575,0.439332,0.17453292
5280,-0.6113707,-0.6521118,0.08850777,0.4394797,0.17453292
5301,-0.6111572,-0.65257293,0.09029014,0.43872896,0.17453292
5320,-0.6108499,-0.6533536,0.093578376,0.43730372,0.17453292
5340,-0.61135954,-0.6529142,0.095162414,0.4369058,0.17453292
5360,-0.61230284,-0.65181106,0.09497859,0.43727177,0.17453292
5381,-0.613373,-0.6501693,0.09383094,0.43846235,0.17453292
5400,-0.6144374,-0.649044,0.09271281,0.43887693,0.17453292
5420,-0.61546725,-0.6488193,0.09209311,0.43789545,0.17453292
5440,-0.6158234,-0.64877254,0.09242563,0.43739367,0.17453292
5461,-0.6152732,-0.64966327,0.09461693,0.43637618,0.17453292
5480,-0.61524,-0.64994246,0.09449705,0.43603316,0.17453292
5500,-0.6146859,-0.6504479,0.094326,0.43609795,0.17453292
5521,-0.61345816,-0.6512366,0.09397276,0.4367255,0.17453292
5540,-0.6118783,-0.65272814,0.09473828,0.43654966,0.17453292
5560,-0.6120379,-0.6529791,0.09417696,0.43607184,0.17453292
5580,-0.6126966,-0.6530076,0.09435335,0.43506485,0.17453292
5601,-0.6131081,-0.65274864,0.0943248,0.43487987,0.17453292
5620,-0.6128695,-0.6532061,0.095623925,0.43424508,0.17453292
5640,-0.61306536,-0.6527399,0.095815726,0.43462726,0.17453292
5660,-0.61452174,-0.65129983,0.09490954,0.43492958,0.17453292
5681,-0.61707854,-0.64963174,0.09227097,0.43437165,0.17453292
5700,-0.6189567,-0.64877325,0.08897685,0.43366927,0.17453292
5720,-0.61906695,-0.6487754,0.08371091,0.43455622,0.17453292
5741,-0.61674255,-0.6493874,0.081341155,0.4373879,0.17453292
5760,-0.614705,-0.6501005,0.0790424,0.43961275,0.17453292
5780,-0.6138857,-0.6507892,0.077729955,0.43997258,0.17453292
5800,-0.61335075,-0.65213174,0.07848512,0.43859452,0.17453292
5821,-0.61276495,-0.6535289,0.08022485,0.43701607,0.17453292
5840,-0.6133272,-0.65389323,0.08045329,0.43563822,0.17453292
5860,-0.61371595,-0.6538175,0.08016883,0.43525672,0.17453292
5880,-0.61413753,-0.6534319,0.07963627,0.4353389,0.17453292
5901,-0.61455154,-0.6533551,0.079707734,0.4348565,0.17453292
5920,-0.6153424,-0.6531186,0.080647536,0.43391913,0.17453292
5940,-0.6161985,-0.65255225,0.0819343,0.4333149,0.17453292
5960,-0.6174337,-0.6516709,0.083142646,0.43265226,0.17453292
5981,-0.6192741,-0.65007955,0.083753034,0.43229803,0.17453292
